instrument,option_type,strike,expiry_type,expiry_code,signal_time,base_price,entry_level_1,entry_level_2,entry_level_3,parts_filled,part1_time,part1_price,part2_time,part2_price,part3_time,part3_price,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status
SENSEX,PE,78100.0,WEEK,1,2025-01-01 09:33:00+05:30,495.65,520.4325,545.215,569.9975,3,2025-01-01 09:42:00+05:30,520.4325,2025-01-01 09:43:00+05:30,545.215,2025-01-01 09:48:00+05:30,569.9975,545.21747825,2025-01-01 10:00:00+05:30,490.695730425,TARGET,54.52174782499998,9.999999999999996,1090.4349564999995,20,CLOSED
SENSEX,CE,78100.0,WEEK,1,2025-01-01 10:11:00+05:30,582.1,611.205,640.3100000000001,669.415,3,2025-01-01 10:12:00+05:30,611.205,2025-01-01 10:12:00+05:30,640.3100000000001,2025-01-01 10:29:00+05:30,669.415,640.3129105,2025-01-01 10:48:00+05:30,768.3754926,STOP_LOSS,-128.0625821,-19.999999999999996,-2561.2516419999997,20,CLOSED
SENSEX,PE,78500.0,WEEK,1,2025-01-01 11:31:00+05:30,546.25,573.5625,600.875,628.1875,2,2025-01-01 11:34:00+05:30,573.5625,2025-01-01 11:39:00+05:30,600.875,,,587.21875,2025-01-01 11:46:00+05:30,528.496875,TARGET,58.721874999999955,9.999999999999993,1174.437499999999,20,CLOSED
SENSEX,CE,78400.0,WEEK,1,2025-01-01 12:08:00+05:30,650.25,682.7625,715.2750000000001,747.7874999999999,3,2025-01-01 12:16:00+05:30,682.7625,2025-01-01 12:20:00+05:30,715.2750000000001,2025-01-01 12:20:00+05:30,747.7874999999999,715.27825125,2025-01-01 12:59:00+05:30,643.7504261250001,TARGET,71.52782512499994,9.999999999999991,1430.5565024999987,20,CLOSED
SENSEX,CE,78500.0,WEEK,1,2025-01-01 13:50:00+05:30,617.35,648.2175000000001,679.085,709.9525,3,2025-01-01 13:53:00+05:30,648.2175000000001,2025-01-01 13:59:00+05:30,679.085,2025-01-01 14:00:00+05:30,709.9525,679.0880867500001,2025-01-01 14:30:00+05:30,640.45,EOD,38.63808675000007,5.689701749137637,772.7617350000014,20,CLOSED
SENSEX,CE,78800.0,WEEK,1,2025-01-02 09:37:00+05:30,525.1,551.355,577.6100000000001,603.865,1,2025-01-02 09:42:00+05:30,551.355,,,,,551.355,2025-01-02 09:47:00+05:30,496.21950000000004,TARGET,55.13549999999998,9.999999999999996,1102.7099999999996,20,CLOSED
SENSEX,CE,78900.0,WEEK,1,2025-01-02 10:06:00+05:30,508.7,534.135,559.57,585.005,2,2025-01-02 10:12:00+05:30,534.135,2025-01-02 10:12:00+05:30,559.57,,,546.8525000000001,2025-01-02 10:14:00+05:30,492.1672500000001,TARGET,54.685249999999996,9.999999999999998,1093.705,20,CLOSED
SENSEX,CE,79000.0,WEEK,1,2025-01-02 10:28:00+05:30,489.3,513.765,538.23,562.6949999999999,1,2025-01-02 10:36:00+05:30,513.765,,,,,513.765,2025-01-02 10:37:00+05:30,462.3885,TARGET,51.376499999999965,9.999999999999993,1027.5299999999993,20,CLOSED
SENSEX,CE,79100.0,WEEK,1,2025-01-02 10:49:00+05:30,494.3,519.015,543.73,568.4449999999999,3,2025-01-02 10:51:00+05:30,519.015,2025-01-02 11:09:00+05:30,543.73,2025-01-02 11:09:00+05:30,568.4449999999999,543.7324715,2025-01-02 11:54:00+05:30,489.35922435,TARGET,54.37324715,10.0,1087.464943,20,CLOSED
SENSEX,CE,79200.0,WEEK,1,2025-01-02 12:07:00+05:30,495.95,520.7475000000001,545.5450000000001,570.3425,3,2025-01-02 12:25:00+05:30,520.7475000000001,2025-01-02 12:25:00+05:30,545.5450000000001,2025-01-02 12:25:00+05:30,570.3425,545.5474797500001,2025-01-02 12:29:00+05:30,654.6569757000001,STOP_LOSS,-109.10949595,-19.999999999999996,-2182.189919,20,CLOSED
SENSEX,PE,79700.0,WEEK,1,2025-01-03 09:31:00+05:30,320.25,336.2625,352.27500000000003,368.28749999999997,1,2025-01-03 09:32:00+05:30,336.2625,,,,,336.2625,2025-01-03 09:32:00+05:30,302.63625,TARGET,33.62624999999997,9.999999999999993,672.5249999999994,20,CLOSED
SENSEX,PE,79300.0,WEEK,1,2025-01-03 10:34:00+05:30,133.05,139.70250000000001,146.35500000000002,153.0075,3,2025-01-03 10:36:00+05:30,139.70250000000001,2025-01-03 10:36:00+05:30,146.35500000000002,2025-01-03 10:36:00+05:30,153.0075,146.35566525000002,2025-01-03 10:36:00+05:30,131.720098725,TARGET,14.635566525000002,10.0,292.71133050000003,20,CLOSED
SENSEX,PE,79300.0,WEEK,1,2025-01-03 10:38:00+05:30,133.7,140.385,147.07,153.75499999999997,1,2025-01-03 10:39:00+05:30,140.385,,,,,140.385,2025-01-03 10:39:00+05:30,126.34649999999999,TARGET,14.038499999999999,10.0,280.77,20,CLOSED
SENSEX,CE,79400.0,WEEK,1,2025-01-03 10:49:00+05:30,160.5,168.525,176.55,184.575,1,2025-01-03 11:08:00+05:30,168.525,,,,,168.525,2025-01-03 11:08:00+05:30,151.6725,TARGET,16.852499999999992,9.999999999999995,337.04999999999984,20,CLOSED
SENSEX,CE,79400.0,WEEK,1,2025-01-03 11:10:00+05:30,137.2,144.06,150.92,157.77999999999997,1,2025-01-03 11:10:00+05:30,144.06,,,,,144.06,2025-01-03 11:10:00+05:30,129.654,TARGET,14.406000000000006,10.000000000000004,288.1200000000001,20,CLOSED
SENSEX,CE,79400.0,WEEK,1,2025-01-03 11:12:00+05:30,136.15,142.9575,149.76500000000001,156.5725,2,2025-01-03 11:13:00+05:30,142.9575,2025-01-03 11:13:00+05:30,149.76500000000001,,,146.36124999999998,2025-01-03 11:13:00+05:30,131.725125,TARGET,14.636124999999993,9.999999999999996,292.72249999999985,20,CLOSED
SENSEX,PE,79600.0,WEEK,1,2025-01-03 12:07:00+05:30,95.7,100.48500000000001,105.27000000000001,110.05499999999999,2,2025-01-03 12:07:00+05:30,100.48500000000001,2025-01-03 12:07:00+05:30,105.27000000000001,,,102.87750000000001,2025-01-03 12:07:00+05:30,92.58975000000001,TARGET,10.287750000000003,10.000000000000002,205.75500000000005,20,CLOSED
SENSEX,PE,79600.0,WEEK,1,2025-01-03 12:09:00+05:30,98.45,103.3725,108.29500000000002,113.2175,1,2025-01-03 12:09:00+05:30,103.3725,,,,,103.3725,2025-01-03 12:09:00+05:30,93.03525,TARGET,10.337249999999997,9.999999999999998,206.74499999999995,20,CLOSED
SENSEX,PE,79500.0,WEEK,1,2025-01-03 12:16:00+05:30,81.6,85.67999999999999,89.76,93.83999999999999,2,2025-01-03 12:16:00+05:30,85.67999999999999,2025-01-03 12:16:00+05:30,89.76,,,87.72,2025-01-03 12:16:00+05:30,78.94800000000001,TARGET,8.771999999999991,9.999999999999991,175.43999999999983,20,CLOSED
SENSEX,PE,79500.0,WEEK,1,2025-01-03 12:28:00+05:30,124.5,130.725,136.95000000000002,143.17499999999998,1,2025-01-03 12:29:00+05:30,130.725,,,,,130.725,2025-01-03 12:29:00+05:30,117.6525,TARGET,13.072499999999991,9.999999999999993,261.4499999999998,20,CLOSED
SENSEX,CE,79500.0,WEEK,1,2025-01-03 12:43:00+05:30,104.3,109.515,114.73,119.945,2,2025-01-03 12:43:00+05:30,109.515,2025-01-03 12:43:00+05:30,114.73,,,112.1225,2025-01-03 12:43:00+05:30,100.91025,TARGET,11.212249999999997,9.999999999999998,224.24499999999995,20,CLOSED
SENSEX,CE,79600.0,WEEK,1,2025-01-03 13:04:00+05:30,122.95,129.0975,135.245,141.39249999999998,3,2025-01-03 13:04:00+05:30,129.0975,2025-01-03 13:04:00+05:30,135.245,2025-01-03 13:04:00+05:30,141.39249999999998,135.24561475,2025-01-03 13:04:00+05:30,121.72105327499999,TARGET,13.524561474999999,10.0,270.4912295,20,CLOSED
SENSEX,PE,79400.0,WEEK,1,2025-01-03 12:31:00+05:30,81.0,85.05,89.10000000000001,93.14999999999999,3,2025-01-03 13:59:00+05:30,85.05,2025-01-03 13:59:00+05:30,89.10000000000001,2025-01-03 13:59:00+05:30,93.14999999999999,89.100405,2025-01-03 13:59:00+05:30,80.1903645,TARGET,8.910040499999994,9.999999999999993,178.20080999999988,20,CLOSED
SENSEX,PE,79300.0,WEEK,1,2025-01-03 14:08:00+05:30,73.6,77.28,80.96,84.63999999999999,3,2025-01-03 14:09:00+05:30,77.28,2025-01-03 14:09:00+05:30,80.96,2025-01-03 14:09:00+05:30,84.63999999999999,80.960368,2025-01-03 14:09:00+05:30,97.1524416,STOP_LOSS,-16.1920736,-20.0,-323.841472,20,CLOSED
SENSEX,PE,79300.0,WEEK,1,2025-01-06 09:35:00+05:30,495.55,520.3275,545.105,569.8824999999999,3,2025-01-06 09:36:00+05:30,520.3275,2025-01-06 09:36:00+05:30,545.105,2025-01-06 09:36:00+05:30,569.8824999999999,545.1074777499999,2025-01-06 09:43:00+05:30,490.59672997499996,TARGET,54.51074777499997,9.999999999999996,1090.2149554999994,20,CLOSED
SENSEX,CE,79400.0,WEEK,1,2025-01-06 10:16:00+05:30,355.7,373.485,391.27000000000004,409.05499999999995,1,2025-01-06 10:16:00+05:30,373.485,,,,,373.485,2025-01-06 10:16:00+05:30,336.1365,TARGET,37.3485,10.0,746.97,20,CLOSED
SENSEX,PE,79200.0,WEEK,1,2025-01-06 10:27:00+05:30,388.75,408.1875,427.62500000000006,447.06249999999994,3,2025-01-06 10:29:00+05:30,408.1875,2025-01-06 10:30:00+05:30,427.62500000000006,2025-01-06 10:31:00+05:30,447.06249999999994,427.62694375,2025-01-06 10:38:00+05:30,513.1523324999999,STOP_LOSS,-85.52538874999993,-19.999999999999986,-1710.5077749999987,20,CLOSED
SENSEX,PE,78700.0,WEEK,1,2025-01-06 11:04:00+05:30,439.0,460.95000000000005,482.90000000000003,504.84999999999997,3,2025-01-06 11:09:00+05:30,460.95000000000005,2025-01-06 11:10:00+05:30,482.90000000000003,2025-01-06 11:10:00+05:30,504.84999999999997,482.902195,2025-01-06 11:12:00+05:30,579.482634,STOP_LOSS,-96.58043899999996,-19.99999999999999,-1931.6087799999991,20,CLOSED
SENSEX,PE,78400.0,WEEK,1,2025-01-06 11:42:00+05:30,470.7,494.235,517.77,541.305,3,2025-01-06 11:45:00+05:30,494.235,2025-01-06 11:47:00+05:30,517.77,2025-01-06 11:48:00+05:30,541.305,517.7723535,2025-01-06 11:49:00+05:30,621.3268242,STOP_LOSS,-103.55447070000002,-20.000000000000004,-2071.0894140000005,20,CLOSED
SENSEX,CE,78200.0,WEEK,1,2025-01-06 12:05:00+05:30,475.8,499.59000000000003,523.3800000000001,547.17,1,2025-01-06 12:12:00+05:30,499.59000000000003,,,,,499.59000000000003,2025-01-06 12:16:00+05:30,449.63100000000003,TARGET,49.959,10.0,999.1800000000001,20,CLOSED
SENSEX,PE,78200.0,WEEK,1,2025-01-06 12:29:00+05:30,481.8,505.89000000000004,529.98,554.0699999999999,2,2025-01-06 13:32:00+05:30,505.89000000000004,2025-01-06 13:33:00+05:30,529.98,,,517.935,2025-01-06 13:35:00+05:30,466.14149999999995,TARGET,51.793499999999995,10.0,1035.87,20,CLOSED
SENSEX,PE,78000.0,WEEK,1,2025-01-06 13:50:00+05:30,427.05,448.40250000000003,469.75500000000005,491.10749999999996,2,2025-01-06 13:53:00+05:30,448.40250000000003,2025-01-06 13:54:00+05:30,469.75500000000005,,,459.07875,2025-01-06 13:58:00+05:30,413.170875,TARGET,45.90787499999999,9.999999999999998,918.1574999999998,20,CLOSED
SENSEX,CE,78100.0,WEEK,1,2025-01-06 14:07:00+05:30,420.75,441.7875,462.82500000000005,483.86249999999995,1,2025-01-06 14:09:00+05:30,441.7875,,,,,441.7875,2025-01-06 14:12:00+05:30,397.60875000000004,TARGET,44.17874999999998,9.999999999999995,883.5749999999996,20,CLOSED
SENSEX,PE,78100.0,WEEK,1,2025-01-07 09:49:00+05:30,267.55,280.9275,294.30500000000006,307.6825,2,2025-01-07 09:49:00+05:30,280.9275,2025-01-07 09:49:00+05:30,294.30500000000006,,,287.61625000000004,2025-01-07 09:49:00+05:30,258.85462500000006,TARGET,28.76162499999998,9.999999999999993,575.2324999999996,20,CLOSED
SENSEX,PE,78000.0,WEEK,1,2025-01-07 09:53:00+05:30,252.3,264.915,277.53000000000003,290.145,1,2025-01-07 09:53:00+05:30,264.915,,,,,264.915,2025-01-07 09:53:00+05:30,238.42350000000002,TARGET,26.491500000000002,10.0,529.83,20,CLOSED
SENSEX,PE,78000.0,WEEK,1,2025-01-07 09:56:00+05:30,233.1,244.755,256.41,268.065,2,2025-01-07 09:57:00+05:30,244.755,2025-01-07 09:57:00+05:30,256.41,,,250.58249999999998,2025-01-07 09:57:00+05:30,225.52425,TARGET,25.058249999999987,9.999999999999995,501.16499999999974,20,CLOSED
SENSEX,CE,78300.0,WEEK,1,2025-01-07 10:14:00+05:30,246.35,258.6675,270.985,283.30249999999995,2,2025-01-07 10:15:00+05:30,258.6675,2025-01-07 10:15:00+05:30,270.985,,,264.82625,2025-01-07 10:15:00+05:30,238.34362500000003,TARGET,26.482624999999985,9.999999999999993,529.6524999999997,20,CLOSED
SENSEX,CE,78300.0,WEEK,1,2025-01-07 10:17:00+05:30,203.8,213.99,224.18000000000004,234.37,1,2025-01-07 10:29:00+05:30,213.99,,,,,213.99,2025-01-07 10:29:00+05:30,192.591,TARGET,21.399,10.0,427.98,20,CLOSED
